PARTIDO,NUM_VOTOS,PORCENTAJE
Electores,438,100
Abstenciones,95,"21,68949771689497716894977168949771689498"
Votantes,343,"78,31050228310502283105022831050228310502"
Blancos,6,"1,74927113702623906705539358600583090379"
Validos,343,100
Nulos,0,0
PSOE,80,"23,3236151603498542274052478134110787172"
FO,1,",291545189504373177842565597667638483965"
PP,171,"49,85422740524781341107871720116618075802"
PACMA,0,0
PCTE,0,0
PUM J,0,0
VOX,43,"12,5364431486880466472303206997084548105"
PUEDE,0,0
AEEV,0,0
RC,0,0
SUMAR,42,"12,24489795918367346938775510204081632653"
Electores,497,100
Abstenciones,90,"18,10865191146881287726358148893360160966"
Votantes,407,"81,89134808853118712273641851106639839034"
Blancos,1,",2457002457002457002457002457002457002457"
Validos,407,100
Nulos,0,0
PSOE,94,"23,0958230958230958230958230958230958231"
FO,0,0
PP,197,"48,4029484029484029484029484029484029484"
PACMA,1,",2457002457002457002457002457002457002457"
PCTE,1,",2457002457002457002457002457002457002457"
PUM J,0,0
VOX,46,"11,3022113022113022113022113022113022113"
PUEDE,0,0
AEEV,3,",7371007371007371007371007371007371007371"
RC,0,0
SUMAR,64,"15,72481572481572481572481572481572481572"
Electores,747,100
Abstenciones,160,"21,41900937081659973226238286479250334672"
Votantes,587,"78,58099062918340026773761713520749665328"
Blancos,8,"1,36286201022146507666098807495741056218"
Validos,584,"99,48892674616695059625212947189097103918"
Nulos,3,",5110732538330494037478705281090289608177"
PSOE,117,"19,93185689948892674616695059625212947189"
FO,0,0
PP,294,"50,08517887563884156729131175468483816014"
PACMA,2,",3407155025553662691652470187393526405451"
PCTE,1,",1703577512776831345826235093696763202726"
PUM J,0,0
VOX,95,"16,18398637137989778534923339011925042589"
PUEDE,0,0
AEEV,2,",3407155025553662691652470187393526405451"
RC,0,0
SUMAR,65,"11,07325383304940374787052810902896081772"
Electores,621,100
Abstenciones,143,"23,02737520128824476650563607085346215781"
Votantes,478,"76,97262479871175523349436392914653784219"
Blancos,7,"1,46443514644351464435146443514644351464"
Validos,474,"99,16317991631799163179916317991631799163"
Nulos,4,",8368200836820083682008368200836820083682"
PSOE,137,"28,66108786610878661087866108786610878661"
FO,1,",2092050209205020920502092050209205020921"
PP,181,"37,86610878661087866108786610878661087866"
PACMA,2,",4184100418410041841004184100418410041841"
PCTE,1,",2092050209205020920502092050209205020921"
PUM J,1,",2092050209205020920502092050209205020921"
VOX,55,"11,50627615062761506276150627615062761506"
PUEDE,0,0
AEEV,1,",2092050209205020920502092050209205020921"
