,PARTIDO,NUM_VOTOS,PORCENTAJE
286,AEEV,4,",7233273056057866184448462929475587703436"
2309,AEEV,2,",5037783375314861460957178841309823677582"
983,AEEV,2,",401606425702811244979919678714859437751"
4111,AEEV,0,0
5012,AEEV,3,",5576208178438661710037174721189591078067"
473,AEEV,0,0
269,AEEV,2,",4524886877828054298642533936651583710407"
2292,AEEV,0,0
3601,AEEV,0,0
4128,AEEV,1,",2610966057441253263707571801566579634465"
711,AEEV,0,0
3006,AEEV,1,",2212389380530973451327433628318584070796"
5539,AEEV,3,",7462686567164179104477611940298507462687"
4145,AEEV,2,",5494505494505494505494505494505494505495"
2258,AEEV,1,",2444987775061124694376528117359413202934"
1000,AEEV,2,",5089058524173027989821882951653944020356"
6049,AEEV,2,",404040404040404040404040404040404040404"
3023,AEEV,5,"1,03519668737060041407867494824016563147"
2241,AEEV,3,",8064516129032258064516129032258064516129"
4162,AEEV,2,",558659217877094972067039106145251396648"
252,AEEV,2,",48661800486618004866180048661800486618"
2275,AEEV,1,",2531645569620253164556962025316455696203"
3584,AEEV,0,0
5522,AEEV,1,",1811594202898550724637681159420289855072"
2989,AEEV,1,",3401360544217687074829931972789115646259"
303,AEEV,3,",6787330316742081447963800904977375565611"
6100,AEEV,1,",1858736059479553903345724907063197026022"
4043,AEEV,2,",6329113924050632911392405063291139240506"
2394,AEEV,0,0
5505,AEEV,3,",5347593582887700534759358288770053475936"
949,AEEV,1,",2531645569620253164556962025316455696203"
5029,AEEV,1,",1834862385321100917431192660550458715596"
4060,AEEV,1,",3021148036253776435045317220543806646526"
2972,AEEV,1,",3571428571428571428571428571428571428571"
2326,AEEV,1,",27100271002710027100271002710027100271"
2377,AEEV,0,0
5981,AEEV,1,",2150537634408602150537634408602150537634"
4077,AEEV,3,",7263922518159806295399515738498789346247"
5233,AEEV,2,",3952569169960474308300395256916996047431"
2360,AEEV,3,",5639097744360902255639097744360902255639"
3618,AEEV,1,",2331002331002331002331002331002331002331"
966,AEEV,2,",5347593582887700534759358288770053475936"
2343,AEEV,1,",2450980392156862745098039215686274509804"
4094,AEEV,2,",4962779156327543424317617866004962779156"
5335,AEEV,1,",2178649237472766884531590413943355119826"
5913,AEEV,2,",263852242744063324538258575197889182058"
2224,AEEV,0,0
5896,AEEV,3,",5671077504725897920604914933837429111531"
4995,AEEV,1,",1972386587771203155818540433925049309665"
4247,AEEV,0,0
218,AEEV,1,",1858736059479553903345724907063197026022"
3074,AEEV,2,",3656307129798903107861060329067641681901"
4264,AEEV,1,",2212389380530973451327433628318584070796"
2105,AEEV,5,"1,14155251141552511415525114155251141553"
3550,AEEV,1,",2202643171806167400881057268722466960352"
2088,AEEV,2,",408163265306122448979591836734693877551"
5590,AEEV,0,0
1068,AEEV,0,0
2122,AEEV,3,",6342494714587737843551797040169133192389"
2802,AEEV,2,",4056795131845841784989858012170385395538"
4281,AEEV,1,",2652519893899204244031830238726790450928"
5879,AEEV,2,",3663003663003663003663003663003663003663"
2071,AEEV,4,",9302325581395348837209302325581395348837"
3091,AEEV,3,",5576208178438661710037174721189591078067"
201,AEEV,2,",3521126760563380281690140845070422535211"
4961,AEEV,1,",1841620626151012891344383057090239410681"
4298,AEEV,3,",8771929824561403508771929824561403508772"
2054,AEEV,2,",5181347150259067357512953367875647668394"
3533,AEEV,2,",6172839506172839506172839506172839506173"
1357,AEEV,3,",7389162561576354679802955665024630541872"
1051,AEEV,2,",495049504950495049504950495049504950495"
3057,AEEV,1,",2272727272727272727272727272727272727273"
490,AEEV,1,",1901140684410646387832699619771863117871"
4179,AEEV,2,",5025125628140703517587939698492462311558"
5165,AEEV,1,",1901140684410646387832699619771863117871"
1017,AEEV,0,0
2207,AEEV,0,0
4196,AEEV,1,",2747252747252747252747252747252747252747"
5556,AEEV,3,",7299270072992700729927007299270072992701"
6117,AEEV,1,",2066115702479338842975206611570247933884"
694,AEEV,1,",288184438040345821325648414985590778098"
2190,AEEV,1,",33003300330033003300330033003300330033"
3567,AEEV,1,",2247191011235955056179775280898876404494"
235,AEEV,1,",1694915254237288135593220338983050847458"
4213,AEEV,0,0
2173,AEEV,1,",2832861189801699716713881019830028328612"
1034,AEEV,2,",4464285714285714285714285714285714285714"
5318,AEEV,0,0
3040,AEEV,0,0
2156,AEEV,2,",5235602094240837696335078534031413612565"
4230,AEEV,2,",4201680672268907563025210084033613445378"
4978,AEEV,1,",2145922746781115879828326180257510729614"
5573,AEEV,0,0
2139,AEEV,1,",2331002331002331002331002331002331002331"
2411,AEEV,2,",5076142131979695431472081218274111675127"
