PARTIDO,NUM_VOTOS,PORCENTAJE
AEEV,4,",7233273056057866184448462929475587703436"
AEEV,2,",5037783375314861460957178841309823677582"
AEEV,2,",401606425702811244979919678714859437751"
AEEV,0,0
AEEV,3,",5576208178438661710037174721189591078067"
AEEV,0,0
AEEV,2,",4524886877828054298642533936651583710407"
AEEV,0,0
AEEV,0,0
AEEV,1,",2610966057441253263707571801566579634465"
AEEV,0,0
AEEV,1,",2212389380530973451327433628318584070796"
AEEV,3,",7462686567164179104477611940298507462687"
AEEV,2,",5494505494505494505494505494505494505495"
AEEV,1,",2444987775061124694376528117359413202934"
AEEV,2,",5089058524173027989821882951653944020356"
AEEV,2,",404040404040404040404040404040404040404"
AEEV,5,"1,03519668737060041407867494824016563147"
AEEV,3,",8064516129032258064516129032258064516129"
AEEV,2,",558659217877094972067039106145251396648"
AEEV,2,",48661800486618004866180048661800486618"
AEEV,1,",2531645569620253164556962025316455696203"
AEEV,0,0
AEEV,1,",1811594202898550724637681159420289855072"
AEEV,1,",3401360544217687074829931972789115646259"
AEEV,3,",6787330316742081447963800904977375565611"
AEEV,1,",1858736059479553903345724907063197026022"
AEEV,2,",6329113924050632911392405063291139240506"
AEEV,0,0
AEEV,3,",5347593582887700534759358288770053475936"
AEEV,1,",2531645569620253164556962025316455696203"
AEEV,1,",1834862385321100917431192660550458715596"
AEEV,1,",3021148036253776435045317220543806646526"
AEEV,1,",3571428571428571428571428571428571428571"
AEEV,1,",27100271002710027100271002710027100271"
AEEV,0,0
AEEV,1,",2150537634408602150537634408602150537634"
AEEV,3,",7263922518159806295399515738498789346247"
AEEV,2,",3952569169960474308300395256916996047431"
AEEV,3,",5639097744360902255639097744360902255639"
AEEV,1,",2331002331002331002331002331002331002331"
AEEV,2,",5347593582887700534759358288770053475936"
AEEV,1,",2450980392156862745098039215686274509804"
AEEV,2,",4962779156327543424317617866004962779156"
AEEV,1,",2178649237472766884531590413943355119826"
AEEV,2,",263852242744063324538258575197889182058"
AEEV,0,0
AEEV,3,",5671077504725897920604914933837429111531"
AEEV,1,",1972386587771203155818540433925049309665"
AEEV,0,0
AEEV,1,",1858736059479553903345724907063197026022"
AEEV,2,",3656307129798903107861060329067641681901"
AEEV,1,",2212389380530973451327433628318584070796"
AEEV,5,"1,14155251141552511415525114155251141553"
AEEV,1,",2202643171806167400881057268722466960352"
AEEV,2,",408163265306122448979591836734693877551"
AEEV,0,0
AEEV,0,0
AEEV,3,",6342494714587737843551797040169133192389"
AEEV,2,",4056795131845841784989858012170385395538"
AEEV,1,",2652519893899204244031830238726790450928"
AEEV,2,",3663003663003663003663003663003663003663"
AEEV,4,",9302325581395348837209302325581395348837"
AEEV,3,",5576208178438661710037174721189591078067"
AEEV,2,",3521126760563380281690140845070422535211"
AEEV,1,",1841620626151012891344383057090239410681"
AEEV,3,",8771929824561403508771929824561403508772"
AEEV,2,",5181347150259067357512953367875647668394"
AEEV,2,",6172839506172839506172839506172839506173"
AEEV,3,",7389162561576354679802955665024630541872"
AEEV,2,",495049504950495049504950495049504950495"
AEEV,1,",2272727272727272727272727272727272727273"
AEEV,1,",1901140684410646387832699619771863117871"
AEEV,2,",5025125628140703517587939698492462311558"
AEEV,1,",1901140684410646387832699619771863117871"
AEEV,0,0
AEEV,0,0
AEEV,1,",2747252747252747252747252747252747252747"
AEEV,3,",7299270072992700729927007299270072992701"
AEEV,1,",2066115702479338842975206611570247933884"
AEEV,1,",288184438040345821325648414985590778098"
AEEV,1,",33003300330033003300330033003300330033"
AEEV,1,",2247191011235955056179775280898876404494"
AEEV,1,",1694915254237288135593220338983050847458"
AEEV,0,0
AEEV,1,",2832861189801699716713881019830028328612"
AEEV,2,",4464285714285714285714285714285714285714"
AEEV,0,0
AEEV,0,0
AEEV,2,",5235602094240837696335078534031413612565"
AEEV,2,",4201680672268907563025210084033613445378"
AEEV,1,",2145922746781115879828326180257510729614"
AEEV,0,0
AEEV,1,",2331002331002331002331002331002331002331"
AEEV,2,",5076142131979695431472081218274111675127"
AEEV,3,",8955223880597014925373134328358208955224"
AEEV,2,",6024096385542168674698795180722891566265"
AEEV,3,",6607929515418502202643171806167400881057"
AEEV,2,",4807692307692307692307692307692307692308"
AEEV,1,",2105263157894736842105263157894736842105"
AEEV,4,",6980802792321116928446771378708551483421"
AEEV,2,",4672897196261682242990654205607476635514"
AEEV,0,0
AEEV,3,",6396588486140724946695095948827292110874"
AEEV,2,",4975124378109452736318407960199004975124"
AEEV,4,",7421150278293135435992578849721706864564"
AEEV,2,",4962779156327543424317617866004962779156"
AEEV,2,",5665722379603399433427762039660056657224"
AEEV,1,",2247191011235955056179775280898876404494"
AEEV,4,",8368200836820083682008368200836820083682"
AEEV,0,0
AEEV,4,"1,12994350282485875706214689265536723164"
AEEV,2,",4608294930875576036866359447004608294931"
AEEV,1,",1956947162426614481409001956947162426614"
AEEV,2,",4184100418410041841004184100418410041841"
